[20106], 39, 739961.72223380, 3359.53371220, -294.39742402, 100.03478880, 1, 3359.53371220, -294.39742402, 100.03478880, 0, 0, 30.28592093, 130.57891291
[20106], 40, 739961.72234954, 3361.43088134, -294.94183547, 99.36153171, 1, 3361.43088134, -294.94183547, 99.36153171, 0, 0, 30.44908809, 130.65449138
[20106], 41, 739961.72247685, 3365.42374544, -295.64058282, 99.84423094, 1, 3365.42374544, -295.64058282, 99.84423094, 0, 0, 30.32413102, 130.62683810
[20106], 42, 739961.72259259, 3368.38015010, -296.21862292, 99.73911907, 0, 3368.38015010, -296.21862292, 99.73911907, 0, 0, 30.34572100, 130.65180188
[20106], 43, 739961.72270833, 3372.81621575, -296.66949626, 99.71274389, 1, 3372.81621575, -296.66949626, 99.71274389, 0, 0, 30.34572784, 130.67625815
[20106], 44, 739961.72282407, 3372.43344498, -297.38305249, 99.13996010, 1, 3372.43344498, -297.38305249, 99.13996010, 0, 0, 30.48814544, 130.73031513
[20106], 45, 739961.72293981, 3376.52898556, -297.92247774, 98.75754717, 1, 3376.52898556, -297.92247774, 98.75754717, 310.06178560, 312.12469166, 30.57735324, 130.78719314
[20106], 46, 739961.72306713, 3379.86749627, -298.31912989, 98.58843793, 1, 3379.86749627, -298.31912989, 98.58843793, 693.61441750, 397.38276206, 30.61480488, 130.81976811
[20106], 47, 739961.72318287, 3381.37959954, -299.27610310, 98.74212344, 1, 3381.37959954, -299.27610310, 98.74212344, 916.28249526, 434.90423365, 30.57438905, 130.81272729
[20106], 48, 739961.72329861, 3384.82469272, -299.73401997, 98.60995421, 1, 3384.82469272, -299.73401997, 98.60995421, 1001.83698313, 434.83244025, 30.60253164, 130.84236083
[20106], 49, 739961.72341435, 3386.26451223, -300.76901985, 97.97442574, 1, 3386.26451223, -300.76901985, 97.97442574, 1043.94976552, 433.17629669, 30.75946722, 130.90876831
[20106], 50, 739961.72354167, 3388.73859186, -300.93485542, 98.24387702, 1, 3388.73859186, -300.93485542, 98.24387702, 1107.78865732, 443.29571479, 30.68862602, 130.89618453
[20106], 51, 739961.72365741, 3392.48407775, -301.26044878, 97.48729337, 1, 3392.48407775, -301.26044878, 97.48729337, 1088.52697551, 426.11130539, 30.87344538, 130.98413120
[20106], 52, 739961.72377315, 3396.19794295, -301.74688837, 97.78446893, 1, 3396.19794295, -301.74688837, 97.78446893, 1058.02087340, 409.69700581, 30.79377373, 130.97577514
[20106], 53, 739961.72388889, 3397.33677909, -302.60935024, 97.68761321, 1, 3397.33677909, -302.60935024, 97.68761321, 1048.81325615, 411.18216088, 30.81661302, 130.99029862
[20106], 54, 739961.72401620, 3400.68464319, -303.49631639, 97.65676039, 1, 3400.68464319, -303.49631639, 97.65676039, 1008.60126348, 402.93540842, 30.81991856, 131.00984707
[20119], 40, 739961.72234954, 3109.22647495, 175.75962275, 103.57071708, 1, 3109.22647495, 175.75962275, 103.57071708, 0, 0, 29.85121475, 129.00092602
[20119], 41, 739961.72247685, 3105.67607104, 174.71343440, 103.24945135, 1, 3105.67607104, 174.71343440, 103.24945135, 0, 0, 29.92917310, 129.01703759
[20119], 42, 739961.72259259, 3105.23704275, 173.72428643, 103.96242590, 0, 3105.23704275, 173.72428643, 103.96242590, 0, 0, 29.77034854, 128.94073815
[20119], 43, 739961.72270833, 3103.51109062, 172.59528149, 103.73326513, 1, 3103.51109062, 172.59528149, 103.73326513, 0, 0, 29.82446772, 128.95650792
[20119], 44, 739961.72282407, 3103.72451828, 171.07780348, 104.46350993, 1, 3103.72451828, 171.07780348, 104.46350993, 0, 0, 29.66128860, 128.88020135
[20119], 45, 739961.72293981, 3100.17801363, 170.10401539, 104.69215598, 1, 3100.17801363, 170.10401539, 104.69215598, 0, 0, 29.61669000, 128.83867281
[20119], 46, 739961.72306713, 3098.70885899, 168.87980365, 104.68317139, 1, 3098.70885899, 168.87980365, 104.68317139, -1179.04190012, -436.31550380, 29.62125784, 128.83264496
[20119], 47, 739961.72318287, 3095.30478762, 168.06597332, 104.85683927, 1, 3095.30478762, 168.06597332, 104.85683927, -1277.31538460, -466.28181415, 29.58877072, 128.79764888
[20119], 48, 739961.72329861, 3093.09448244, 167.32764327, 105.12222330, 1, 3093.09448244, 167.32764327, 105.12222330, -1302.00390253, -490.36809183, 29.53403682, 128.75823962
[20119], 49, 739961.72341435, 3095.25982144, 166.39203328, 104.48694503, 1, 3095.25982144, 166.39203328, 104.48694503, -1191.64428872, -485.89150662, 29.67080010, 128.83729248
[20119], 50, 739961.72354167, 3094.16003542, 165.46862890, 104.89136819, 1, 3094.16003542, 165.46862890, 104.89136819, -946.30596442, -420.33376181, 29.58315219, 128.78845759
[20119], 51, 739961.72365741, 3100.53510612, 163.93830252, 105.11147184, 1, 3100.53510612, 163.93830252, 105.11147184, -755.25493710, -360.40246954, 29.52316334, 128.79472579
[20119], 52, 739961.72377315, 3099.38993702, 162.80687927, 104.68551910, 1, 3099.38993702, 162.80687927, 104.68551910, -560.67535966, -277.68847398, 29.61954361, 128.83563586
[20119], 53, 739961.72388889, 3099.66221754, 162.17160683, 105.15413481, 1, 3099.66221754, 162.17160683, 105.15413481, -364.77171768, -172.54345066, 29.51528317, 128.78590330
[20119], 54, 739961.72401620, 3100.28157407, 161.48594266, 105.59931014, 1, 3100.28157407, 161.48594266, 105.59931014, -129.03337078, -44.32356313, 29.41587907, 128.73957415
[20123], 40, 739961.72234954, 3454.51503328, 332.75285535, 90.40337696, 1, 3454.51503328, 332.75285535, 90.40337696, 0, 0, 32.63140557, 131.83151231
[20123], 41, 739961.72247685, 3456.66586340, 331.87394626, 89.93339886, 1, 3456.66586340, 331.87394626, 89.93339886, 0, 0, 32.75346044, 131.86995808
[20123], 42, 739961.72259259, 3455.00905122, 331.72783791, 90.57761875, 0, 3455.00905122, 331.72783791, 90.57761875, 0, 0, 32.58514464, 131.82376807
[20123], 43, 739961.72270833, 3451.76168453, 331.26403867, 90.94292980, 1, 3451.76168453, 331.26403867, 90.94292980, 0, 0, 32.49192716, 131.78463072
[20123], 44, 739961.72282407, 3443.38327428, 331.53502057, 89.92752646, 1, 3443.38327428, 331.53502057, 89.92752646, 0, 0, 32.76559984, 131.80039261
[20123], 45, 739961.72293981, 3453.36623196, 330.55182030, 91.05945983, 1, 3453.36623196, 330.55182030, 91.05945983, 0, 0, 32.45992945, 131.78582503
[20123], 46, 739961.72306713, 3437.35003072, 332.14545315, 89.97846826, 1, 3437.35003072, 332.14545315, 89.97846826, -663.75452174, -197.72717856, 32.75703598, 131.76577854
[20123], 47, 739961.72318287, 3436.24522497, 331.47330672, 90.30080919, 1, 3436.24522497, 331.47330672, 90.30080919, -14.62608715, -167.08534014, 32.67344264, 131.74158748
[20123], 48, 739961.72329861, 3419.49688459, 331.66911206, 90.67305834, 1, 3419.49688459, 331.66911206, 90.67305834, 165.57155881, -218.44945300, 32.59016230, 131.63195066
[20123], 49, 739961.72341435, 3428.93143938, 331.31096399, 90.49524347, 1, 3428.93143938, 331.31096399, 90.49524347, -21.04578418, -170.67064347, 32.62862995, 131.69188570
[20123], 50, 739961.72354167, 3420.53624387, 332.38249904, 90.02415220, 1, 3420.53624387, 332.38249904, 90.02415220, -105.53572576, -212.91215934, 32.75850074, 131.67473986
[20123], 51, 739961.72365741, 3422.87086282, 332.98098007, 90.37121670, 1, 3422.87086282, 332.98098007, 90.37121670, 126.48679665, -251.32799484, 32.66603331, 131.66728340
[20123], 52, 739961.72377315, 3420.83290880, 332.26820988, 90.07983803, 1, 3420.83290880, 332.26820988, 90.07983803, 70.86014362, -209.03308202, 32.74372865, 131.67317667
[20123], 53, 739961.72388889, 3422.00867849, 332.28461199, 90.32608597, 1, 3422.00867849, 332.28461199, 90.32608597, 64.16362413, -202.31992660, 32.67851674, 131.66535505
[20123], 54, 739961.72401620, 3413.11094395, 334.22070835, 90.57846586, 1, 3413.11094395, 334.22070835, 90.57846586, 103.71154164, -198.43753937, 32.62014535, 131.60402241
[20095], 39, 739961.72223380, 3324.12233818, 200.93226558, 98.20881278, 1, 3324.12233818, 200.93226558, 98.20881278, 0, 0, 30.78538063, 130.57725937
[20095], 40, 739961.72234954, 3323.16541935, 201.42794857, 98.30189313, 1, 3323.16541935, 201.42794857, 98.30189313, 0, 0, 30.76379739, 130.56404466
